# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.051823 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0259117 0.00618544	0.0259117 0.00688976
0.0777351 0.0121926	0.0777351 0.011726
0.129558 0.0165477	0.129558 0.0156248
0.181382 0.0201281	0.181382 0.0190799
0.233205 0.0215572	0.233205 0.0203202
0.285029 0.0216922	0.285029 0.0205825
0.336852 0.021476	0.336852 0.0194522
0.388675 0.0196875	0.388675 0.0186821
0.440499 0.0184226	0.440499 0.0167835
0.492322 0.0160653	0.492322 0.0154163
0.544146 0.014976	0.544146 0.013433
0.595969 0.0132182	0.595969 0.0120394
0.647792 0.0111939	0.647792 0.0106181
0.699616 0.00893434	0.699616 0.00858822
0.751439 0.00591586	0.751439 0.00566717
0.803263 0.00211803	0.803263 0.00306786
0.855086 -0.000966327	0.855086 -0.000590082
0.906909 -0.00422697	0.906909 -0.00374049
0.958733 -0.00585329	0.958733 -0.00710221
1.01056 -0.00752643	1.01056 -0.00841683
1.06238 -0.00908366	1.06238 -0.00936322
1.1142 -0.00895374	1.1142 -0.00983954
1.16603 -0.00777314	1.16603 -0.00924341
1.21785 -0.00828555	1.21785 -0.0075295
1.26967 -0.00568876	1.26967 -0.00656256
1.3215 -0.00398035	1.3215 -0.00211313
1.37332 -6.91163e-05	1.37332 0.00212113
1.42514 0.00102733	1.42514 0.00106804
1.47697 0.00127612	1.47697 -7.60471e-05
1.52879 -0.00325107	1.52879 -0.00346744
1.58061 -0.0107689	1.58061 -0.0113901
1.63244 -0.0228889	1.63244 -0.0219661
1.68426 -0.0368527	1.68426 -0.0377713
1.73608 -0.055141	1.73608 -0.0593736
1.78791 -0.083243	1.78791 -0.08637
1.83973 -0.115113	1.83973 -0.118787
1.89155 -0.148842	1.89155 -0.152083
1.94338 -0.182949	1.94338 -0.190003
1.9952 -0.22058	1.9952 -0.221732
2.04702 -0.253573	2.04702 -0.253572
2.09885 -0.281105	2.09885 -0.280636
2.15067 -0.300625	2.15067 -0.300979
2.20249 -0.307138	2.20249 -0.309801
2.25432 -0.306699	2.25432 -0.30991
2.30614 -0.296994	2.30614 -0.299831
2.35796 -0.27548	2.35796 -0.278088
2.40979 -0.246626	2.40979 -0.248988
2.46161 -0.212538	2.46161 -0.212999
2.51343 -0.174838	2.51343 -0.177774
2.56526 -0.140146	2.56526 -0.141858
2.61708 -0.107284	2.61708 -0.109052
2.6689 -0.0791585	2.6689 -0.080713
2.72073 -0.0562598	2.72073 -0.0573004
2.77255 -0.0384324	2.77255 -0.039203
2.82437 -0.0251503	2.82437 -0.0259674
2.8762 -0.0159667	2.8762 -0.0163474
2.92802 -0.009722	2.92802 -0.00986605
2.97984 -0.00547372	2.97984 -0.00584014
3.03167 -0.00309483	3.03167 -0.00336128
3.08349 -0.00155316	3.08349 -0.00187719
3.13531 -0.000622725	3.13531 -0.00112123
3.18714 -0.000137695	3.18714 -0.000763281
3.23896 0.000156338	3.23896 -0.000583643
3.29079 0.000304404	3.29079 -0.000494657
3.34261 0.000370638	3.34261 -0.000461035
3.39443 0.00040915	3.39443 -0.000439267
3.44626 0.000422203	3.44626 -0.000432733
3.49808 0.000424378	3.49808 -0.000426868
3.5499 0.000426053	3.5499 -0.000426032
3.60173 0.000426053	3.60173 -0.000426032
3.65355 0.000426053	3.65355 -0.000426032
3.70537 0.000426053	3.70537 -0.000426032
3.7572 0.000426053	3.7572 -0.000426032
3.80902 0.000426053	3.80902 -0.000426032
3.86084 0.000426053	3.86084 -0.000426032
